지점명_표준,종목,입점형태,오픈일,평형 수(전용면적),주차 시설,웨이트브랜드,웨이트기구,유산소_유무,유산소브랜드,트레드밀,GX_유무,GX프로그램,G.X,안마의자_유무,안마의자,스트레칭존_유무,스트레칭존,부대시설_유무,부대시설
 영통 판타지움점,헬스,신규,,150평,"지상,지하주차장 3시간무료","뉴텍, 부티빌더, 싸이벡스, 아스날, 아틀란티스, 왓슨, 포커스, 프리모션, 해머스트렝스","뉴텍,헤머,왓슨,부티빌더,싸이벡스,아틀란티스,아스날,포커스,프리모션",TRUE,"DRAX, 매트릭스, 싸이클","디렉스 런닝머신,싸이클/메트릭스 천국의계단",FALSE,,x,FALSE,x,TRUE,o,FALSE,x
 을지로점,헬스·필라테스,인수,2016-05-22,"380평(헬스,골프포함)",주차가능 주차지원없음 시간당 6000원,"뉴텍, 아틀란티스, 카이로스","뉴텍, 아틀란티스, 카이로스",TRUE,"KT820T, 헤라","헤라(헬스원), KT820T",FALSE,,x,FALSE,x,TRUE,o,FALSE,x
 인계점,헬스·필라테스·골프,신규,2020-04-06,1000평,무료주차 3시간 30분가능 / 추가 10분당 500원,"뉴텍, 라이프휘트니스, 스타트랙, 아스날, 테크노, 플랙스, 해머스트렝스","아스널, 해머 스트렝스, 뉴텍, 라이프 피트니스, 테크노, 스타트랙, 플랙스",TRUE,DRAX,DRAX,TRUE,"크로스핏, 기구필라테스","크로스핏 , 기구필라테스",TRUE,O,TRUE,O,TRUE,"크로스핏,사우나"
 잠실점,헬스·필라테스,신규,2020-10-12,330평,"갤러리아팰리스 상가 주차장(2시간무료), 초과시 30분 1500원","뉴택, 아스날, 테크노짐, 프리모션, 해머스트렝스","아스널,해머스트렝스,프리모션,테크노짐,뉴택",TRUE,DRAX,DRAX,FALSE,,x,FALSE,x,TRUE,o,FALSE,x
 장안점,헬스·필라테스,인수,2020-08-01,600평,지하주차장 3시간 30분 무료(30분당 2000원 주차비 발생합니다.),"뉴텍, 아스날, 프라임, 프리모션, 해머스트렝스","해머스트렝스,뉴텍,아스날스트랭스,프라임,프리모션",TRUE,"DRAX, 테크노짐, 헬스원싸이클","디렉스 트레드밀 ,테크노짐스텝밀 ,헬스원싸이클, 테크노짐 아크트레이너",TRUE,"요가, 필라, 줌바, 에어로빅, 스피닝, 전신근력","요가,필라,줌바,에어로빅,
,스피닝, 전신근력",FALSE,X,TRUE,O,FALSE,X
 천천점,헬스,신규,,250평,롯데마트 주차장 무료3시간,"뉴텍, 매트릭스울트라, 부티빌더, 아스날, 아틀란티스, 왓슨, 파나타, 프라임, 해머스트렝스","왓슨,파나타,해머스트랭스,아스날,프라임,부티빌더,아틀란티스,매트릭스울트라,뉴텍",TRUE,"매트릭스, 스텝밀, 싸이클","매트릭스(런닝머신,스텝밀,싸이클)",FALSE,,X,TRUE,O,TRUE,O,FALSE,X
 철산점,헬스,인수,2020-06-01,300평,지상 타워주차 2시간 무료가능,"뉴텍, 아스널스트렝스, 프라임","아스널스트렝스,뉴텍,프라임 머신",TRUE,"DRAX, 좌식, 헬스원","디랙스 트레드밀, 헬스원(입,좌식)싸이클",TRUE,"요가, 줌바, 필라테스, 스피닝","요가,줌바,필라테스,스피닝",FALSE,X,TRUE,O,FALSE,X
 탄방점,헬스·필라테스,인수,2020-01-14,400평,JK지상 주차장 3시간 무료/ 30분당 1500원 추가 ,"뉴텍, 아스날, 테크노짐, 해머스트렝스","뉴텍, 아스널, 해머스트렝스, 테크노짐, ",TRUE,"사노트리노, 헬스원","사노트리노, 헬스원",TRUE,"에어로빅, 줌바, 매트필라테스, 스피닝, 점핑, 바디플랙스","에어로빅, 줌바, 매트필라테스, 스피닝, 점핑, 바디플랙스,",FALSE,X,FALSE,0,FALSE,X
 테크노밸리점,헬스,인수,2018-05-22,300평,건물내 지하2층까지 2시간/건너편 다이소건물 2시간 무료,"뉴텍, 위너핏, 호이스트","뉴텍, 위너핏 , 호이스트 ",TRUE,"DRAX, 트레드밀매트릭스","디렉스, 트레드밀 매트릭스",TRUE,"줌바, 요가, 단체PT, 매트필라테스, 점핑","줌바,요가,단체PT,매트필라테스,점핑",FALSE,X,TRUE,O,FALSE,X
 평택역점,헬스·필라테스,인수(회사내),2021-07-01,400평,타워주차 (소형 및 승용차) 시간제한 없음 / 합정공영주차장 무료주차 2시간(주차권 1800원 제공) / 종료시(1시간 이상) 할증추가요금 발생 10분당 300원,"너틸러스, 뉴텍, 라이프휘트니스, 스타트랙, 프리모션, 해머스트렝스","해머스트렝스, 스타트랙, 뉴텍, 라이프휘트니스, 프리모션, 너틸러스",TRUE,"매트릭스, 스피릿스텝퍼, 애니휘트니스, 임펄스일렙티컬, 파워플레이트, 헬스원싸이클",애니휘트니스 / 헬스원 싸이클 / 매트릭스 스텝밀 / 스피릿 스텝퍼 / 임펄스 일렙티컬 / 파워플레이트 ,FALSE,,X,TRUE,O,TRUE,O,FALSE,X
